RAW.SCR Z.SCR N SYS 
37.3912839737582 -0.712624276523664 1067 IMFD_IMPRESEE 
52.4428166351607 -0.30573598833316 1058 PicSOM 
42.3849391955098 -0.579219794669722 1069 KsLab_NUT 
33.3628731343284 -0.822102543868181 1072 KU_ISPL 
86.6590271281572 0.6256353091685 1069 HUMAN-C 
86.9908878504673 0.635017065510642 1070 HUMAN-E 
88.1106837606838 0.678244191326974 1170 HUMAN-B 
65.9815592903828 0.0574084546935275 1071 RUC_AIM3 
86.9037342386033 0.61804358678937 1031 HUMAN-D 
42.4847645429363 -0.585105812556295 1083 MMCUniAugsburg 
