RAW.SCR Z.SCR N SYS 
39.9573732718894 -0.473163892156682 434 PicSOM 
39.5079006772009 -0.554162433838108 443 kslab 
53.012585812357 -0.151428453758085 437 INF 
49.693661971831 -0.251306064330275 426 UTS_CETC 
84.1467116357504 0.718424248739753 593 HUMAN_B 
37.4625322997416 -0.582250212191472 387 KU_ISPL 
83.6161369193154 0.693242091576718 409 HUMAN_D 
31.0091954022989 -0.782709888207848 435 MMsys_CCMIP 
84.1666666666667 0.693593789164901 423 HUMAN_E 
32.6846846846847 -0.712492912267564 444 NTU_ROSE 
82.5326086956522 0.682699200196864 414 HUMAN_C 
40.574200913242 -0.486858896876424 438 UPCer 
